Vernier Format 2
Sin título.cmbl 13/11/2025 15:03:15 .
Último
Tiempo	Campo magnético	Corriente
t	B	I
s	mT	A

0.853	0.476833090972	0.0056266784668
0.854	0.606254321276	0.0056266784668
0.855	0.500453695742	0.00532150268555
0.856	0.567132694625	0.0050163269043
0.857	0.633811693508	0.0050163269043
0.858	0.763232923811	0.00442504882812
0.859	0.798663830967	0.00442504882812
0.86	0.735921599546	0.00411987304688
0.861	0.78291676112	0.00381469726562
0.862	0.853532527464	0.00350952148438
0.863	0.98689052523	0.00320434570312
0.864	0.88896343462	0.00289916992188
0.865	0.908401223962	0.00259399414062
0.866	0.955642433502	0.00228881835938
0.867	1.03413173477	0.00167846679688
0.868	1.16355296507	0.00137329101562
0.869	0.998700827615	0.000762939453125
0.87	1.04175922173	0.000457763671875
0.871	1.07719012888	0.000152587890625
0.872	1.16748973254	-0.000457763671875
0.873	1.16748973254	-0.000762939453125
0.874	1.07719012888	-0.00104904174805
0.875	1.09293719873	-0.00165939331055
0.876	1.1399323603	-0.0019645690918
0.877	1.23810549888	-0.00226974487305
0.878	1.06931659396	-0.00288009643555
0.879	1.0653798265	-0.0031852722168
0.88	1.08112689634	-0.00349044799805
0.881	1.1714265	-0.00410079956055
0.882	1.00263759508	-0.0044059753418
0.883	0.98689052523	-0.00471115112305
0.884	0.994764060153	-0.0050163269043
0.885	1.07719012888	-0.00532150268555
0.886	0.9044644565	-0.00593185424805
0.887	0.88896343462	-0.00593185424805
0.888	0.935958596194	-0.00652313232422
0.889	0.810474133352	-0.00682830810547
0.89	0.794727063505	-0.00743865966797
0.891	0.731984832084	-0.00743865966797
0.892	0.692617157467	-0.00774383544922
0.893	0.67687008762	-0.00774383544922
0.894	0.606254321276	-0.00804901123047
0.895	0.551385624778	-0.00804901123047
0.896	0.535638554931	-0.00835418701172
0.897	0.465022788587	-0.00835418701172
0.898	0.406217324628	-0.00835418701172
0.899	0.35134862813	-0.00835418701172
0.9	0.296479931632	-0.00865936279297
0.901	0.24530195463	-0.00835418701172
0.902	0.190433258133	-0.00835418701172
0.903	0.131627794173	-0.00835418701172
0.904	0.0767590976757	-0.00835418701172
0.905	0.01770758575	-0.00835418701172
0.906	-0.0371611107475	-0.00835418701172
0.907	-0.0841562723217	-0.00804901123047
0.908	-0.139024968819	-0.00804901123047
0.909	-0.182329410898	-0.00774383544922
0.91	-0.233261339934	-0.00743865966797
0.911	-0.276565782013	-0.00743865966797
0.912	-0.327497711049	-0.00682830810547
0.913	-0.370556105161	-0.00682830810547
0.914	-0.41386054724	-0.00652313232422
0.915	-0.452982173891	-0.00593185424805
0.916	-0.488413081046	-0.0056266784668
0.917	-0.531471475158	-0.00532150268555
